"value","mes","year","paragraph"
"In the external context, the conditions of the world economy are characterized by a process of gradual recovery, based on a better performance of the developed countries, particularly the United States of America (USA), which grew 3.2% in the last quarter of 2013 and 1.9% throughout the year, reducing the unemployment rate from 7.9% in December 2012 to 6.7% in December 2013. According to Consensus Forecast, the US economy would grow 2.8% in 2014, while the Euro Zone would expand by 1.0%, leaving behind the recessive stage of the economic cycle.","01","14",3
"The gradual reduction of the monetary stimulus by the Federal Reserve (FED), reducing its monthly purchases of financial assets to inject liquidity in US $ 20,000 million, would be restricting international financial conditions and provoking capital returns to the industrialized economies. In this context, some of the larger emerging economies such as Argentina, Brazil, India, Turkey and South Africa, mostly exporters of commodities, have experienced exchange rate pressures, which has led their central banks to tighten monetary policy stance through increases in interest rates, liquidity restrictions and interventions in the foreign exchange market, to face possible effects on inflation.","01","14",4
"It is important to point out that given the greater growth of production and employment in the US, there is a consensus among the governors of the FED that there will be no increases in the reference rate of monetary policy, at least until 2015. In that sense, the The gradual withdrawal of the monetary stimulus and the temporary volatility it has caused in the international capital markets, would have minimal effects on the financial and exchange markets of the smaller economies, with good macroeconomic fundamentals and without active participation in the global financial markets, as it is the case of the Dominican Republic. However, the greater dynamism in the economic activity of the United States, the country's main trading partner, would have a positive impact on Dominican economic growth, through exports and the flow of remittances, which would increase the supply of foreign currency in the country. Dominican exchange market, facilitating the maintenance of the relative stability of the exchange rate.","01","14",5
"Additionally, economic activity and domestic demand show remarkable dynamism as of the fourth quarter of 2013, growing by 7.2%, driven during this period by exports, investment and private consumption. Credit to the private sector in national currency continues to expand at a rate above the nominal product, while improving prospects for activities related to foreign trade. In this sense, it is expected that in this year the current account deficit of the balance of payments would continue to be corrected, which together with the strengthening of public finances, would contribute to improving the macroeconomic performance of the Dominican Republic and its perception of country risk.","01","14",6
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to take the necessary measures against risks on price stability and the proper functioning of the financial and payment systems.","01","14",7
"At its monetary policy meeting in January 2015, the Central Bank decided to keep its monetary policy interest rate (MPR) unchanged at 6.25% per annum, thus continuing with the neutral position it has maintained since August 2013.","01","15",1
"The decision on the benchmark interest rate was adopted after a thorough analysis of the risk balance around inflation projections, as well as the state of the economy based on its main indicators, market expectations and the international environment relevant. Last December, the year-on-year rate of inflation closed at 1.58%, while core inflation, related to the monetary conditions of the economy, was 2.97%. The inflation target from 2015 is 4.0% <U+00B1> 1%, according to the Monetary Program under the Inflation Targets, published at the end of last year. In the policy horizon, projections suggest that inflation would converge to the medium-term goal, while the economy would continue to grow close to its potential.","01","15",2
"In the international environment, the outlook for the growth of the world economy for 2015 remains moderate due to the projected trajectory for the Euro Zone, Japan and other industrialized economies. The United States of America shows a flattering outlook regarding the rate of expansion of its production due to the good performance of investment and private consumption. However, at its first monetary policy meeting in 2015, the Federal Reserve Bank maintained its MPR in the 0% -0.25% range, indicating that it would leave it at least until the third quarter of the year. In terms of emerging economies, Consensus Forecast has adjusted the growth projections for Asia and Latin America to 4.7% and 1.1%, respectively.","01","15",3
"On the other hand, the downward trend in the prices of the main primary goods (commodities), particularly fuels and industrial metals, continues, while international financial conditions have become more restrictive for emerging economies. As a result of the application of more expansive monetary policies in the Euro Zone, Japan and other economies with problems of economic growth, the US dollar has tended to appreciate worldwide and long-term interest rates in industrialized countries have been reduced. .","01","15",4
"In the domestic sphere, economic activity grew 7.1% in 2014 and it is expected that in 2015 it will continue to register an expansion close to its potential. In January, credit to the private sector in local currency was 15.6% in year-on-year terms, while total credit to the private sector, including foreign currency financing, would close this month with growth above 18.0% over the year. previous. In the fiscal part, adjustments continue and it is expected that by 2015 the Central Government deficit would be 2.4% of GDP. This process of fiscal consolidation would help strengthen the sustainability of the debt, which has improved with the operation of handling liabilities recently made by the Dominican Government with the Venezuelan company PDVSA. Additionally, external accounts will continue to strengthen in the current year and a current account deficit is projected for the end of 2015 in the range of 1.9% -2.1% of GDP. The continuous strengthening of the macroeconomic foundations of the Dominican economy facilitates the maintenance of the relative stability of the exchange rate and a greater accumulation of international reserves.","01","15",5
"The Central Bank reaffirms its commitment to implement monetary policy aimed at achieving its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation, in order to take the necessary measures against risks to the stability of the economy. prices and the proper functioning of the financial and payment systems.","01","15",6
"At its monetary policy meeting for the month of January 2016, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.00% per annum.","01","16",1
"The decision on the reference rate has been made after an examination of the international environment relevant to the Dominican economy, as well as the domestic context taking into account the balance of risks around inflation projections and market expectations. It was observed that, as of December 2015, the interannual inflation rate reached 2.34%, below the lower limit of the goal established in the Monetary Program. At the same time, core inflation, which reflects the monetary conditions of the economy, amounted to 1.82% last year. Inflation is expected to converge gradually towards the center of the target range of 4.0% <U+00B1> 1.0% in the policy horizon.","01","16",2
"Externally, the most recent World Economic Outlook (WEO) of the International Monetary Fund (IMF) reduced the projections for world growth from 3.6% to 3.4% for 2016, due to the problems of the main emerging economies, particularly the emerging economies. net exporters of primary goods. After the increase of its monetary policy rate (MPR) in the month of December, the Federal Reserve Bank (FED) decided to keep its MPR unchanged in January, faced with greater uncertainty in the international financial markets. The slowdown in China and the recession in several of the leading emerging economies have pushed up the country risk premiums of these economies, while the US dollar has appreciated and the price of oil and stock indicators have declined.","01","16",3
"The most recent forecasts of the Consensus Forecast (CFC) highlight that world growth would be led by the expansion of the industrialized countries. In that sense, the United States of America (USA) would register an expansion of 2.4% in 2016 and 2.5% in 2017, while the Euro Zone (ZE) would continue consolidating its recovery with growth rates of 1.7% in 2016 and 2017. Inflation is expected to approach 2.0% in both the US and the ZE, while unemployment continues to fall.","01","16",4
"The macroeconomic conditions of emerging economies remain weak. The outlook points to a slight improvement in 2016. Latin America would present a growth of 0.3% in 2016, reaching a recovery in 2017, with an expansion of 2.3%. This result would be influenced by the evolution of Venezuela and Brazil, which would remain in recession until 2016, as well as by the moderation of growth in the net exporting economies of raw materials in the region.","01","16",5
"Domestically, economic activity continues to grow above its potential. Preliminary data show a GDP expansion rate of 7.0% in 2015. In the financial sector, private loans in local currency show a year-on-year growth of close to 12%, exceeding nominal product growth.","01","16",6
"The external accounts of the Dominican economy continue to improve in an environment of low oil prices and good performance in tourism revenues, remittances and exports from free zones. It is expected that by 2016, the current account deficit will remain around 2.0% of GDP. With regard to fiscal policy, the 2016 Budget contemplates maintaining discipline within the consolidation and sustainability efforts of public accounts. The adequate behavior of external and fiscal accounts in 2016 would facilitate the accumulation of reserves and the relative stability of the foreign exchange market.","01","16",7
"The Central Bank confirms its commitment to implement monetary policy aimed at achieving its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation, in order to take the necessary measures against possible risks to stability of prices and the proper functioning of the financial and payment systems.","01","16",8
"At its monetary policy meeting for the month of January 2017, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate (MPR) at 5.50% per annum.","01","17",1
"The decision on the benchmark interest rate was adopted after a thorough analysis of the risk balance around inflation projections, as well as the state of the economy based on its main indicators, market expectations and the international environment. relevant. Last December, the year-on-year rate of inflation closed at 1.70%, while core inflation, related to the monetary conditions of the economy, was 1.89%. According to the projections, inflation would converge to the target range of 4% <U+00B1> 1% in the monetary policy horizon.","01","17",2
"In the external context, the growth prospects of the world economy are positive, with an estimated rate of expansion of 2.5% in 2016 and 2.8% in 2017, according to Consensus Forecast. This improvement in world economic activity would be influenced by the United States of America (USA), which according to preliminary figures recorded a growth of 1.6% in 2016, having experienced an expansion of 1.9% year-on-year in the last quarter. For the year 2017, a better performance of this economy is expected when projecting a growth of 2.3% associated with the positive expectation of the fiscal stimulus plan that the new government of that country would implement. The greater dynamism of the US, our main trading partner, should be a positive factor for our economy in 2017.","01","17",3
"Regarding the Euro Zone (ZE), it is estimated that the real product would expand 1.6% in 2016 and in 2017 it would reach a growth of 1.4%. Inflation in these industrialized economies has maintained a positive trend, gradually approaching the targets set by its central banks. In the case of Latin America, the region would have closed in 2016 with a contraction of -0.6%, to recover in 2017 with a growth of 1.2%, according to estimates of the International Monetary Fund. On the other hand, the international prices of most primary goods show a growing trend so far this year, especially oil, industrial metals and some foods.","01","17",4
"In the domestic sphere, economic activity expanded at a rate of 6.6% in 2016, being the highest in the region for the third consecutive year. In the monetary sector, the dynamism in total financial system credit continues to the private sector, both in domestic and foreign currency, growing by 11.9% at the end of 2016, above the expansion of nominal GDP. Public finances during the second semester of 2016 have strengthened, as there has been an improvement in tax revenues and a moderation in public spending, with a primary surplus expected for the end of the year, which would contribute to strengthening the sustainability of the public debt.","01","17",5
"In addition, the strengthening of macroeconomic fundamentals was maintained during 2016, when the lowest current account deficit was recorded in the last decade (-1.5% of GDP), influenced by the dynamism of tourism, remittances and national exports. This good performance of the external sector allowed the Gross International Reserves to close the year at historically high levels of US $ 6,047.4 million, equivalent to a coverage of 3.9 months of imports, which gives the Dominican economy greater strength to react to any event adverse and guarantee the relative stability of the foreign exchange market.","01","17",6
"The Central Bank of the Dominican Republic reaffirms its commitment to continue conducting monetary policy aimed at achieving its inflation target and maintaining macroeconomic stability, while continuing to monitor the evolution of the world economy and the domestic situation, In order to adopt the necessary measures in the face of risks regarding price stability and the proper functioning of the financial and payment systems.","01","17",7
"At its monetary policy meeting in January 2018, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.25% per annum.","01","18",1
"This decision was based on an exhaustive analysis of the balance of risks around inflation forecasts, the evolution of the main national macroeconomic indicators, the international environment, market expectations and medium-term projections. Inflation for the month of December 2017 was 0.97%, while year-on-year inflation stood at 4.20%, close to the central value of the target range of 4.0% <U+00B1> 1.0% established in the Monetary Program. In turn, core inflation, related to monetary conditions, reached 2.36% year-to-year at the end of 2017. Forecasts indicate that inflation would remain within the target range in the 24-month monetary policy horizon.","01","18",2
"In the international arena, the world economy experienced a growth of 3.2% in 2017, while for 2018 Consensus Forecast (CFC) estimates an expansion rate of 3.3% for the global economy. In 2017, the behavior of the world economy was driven by the performance of advanced economies, particularly by growth rates of 2.3% in the United States of America (USA) and 2.5% in the Euro Zone (ZE). By 2018, CFC projects that the dynamism of the advanced economies would continue with an expansion of 2.7% in the US and 2.2% in the ZE. On the price side, US inflation was 2.1% in 2017 and that of the EZ of 1.4%, while it is expected that by 2018 in both economies the price growth would be similar to last year.","01","18",3
"The recovery continued in Latin America (AL) during 2017, estimating a growth of 1.8% according to Consensus Forescast. By 2018, it is expected that all countries in the region would maintain a positive economic performance, with the sole exception of Venezuela. In that sense, the growth projections of CFC point to an expansion for the region of 2.6% by the end of 2018. In general terms, large economies of Latin America, exporters of commodities, would benefit from the upward trend that is observed in the international prices of primary goods, while at the same time they would be facing favorable international financial conditions in an environment of abundant liquidity worldwide.","01","18",4
"In the domestic context, the economy has reacted favorably to monetary easing measures that were implemented as of August 2017. Since that period, the active interest rate has been significantly reduced and loans to the private sector in national currency have grown in about RD $ 55 billion. The growth of credit reached 12.5% ??year-to-year at the end of January, generating a great dynamism in investment and consumption, which boosted the recovery of domestic demand. Indeed, preliminary information from the Monthly Indicator of Economic Activity (IMAE) indicates a growth of 7.4% in the month of December and an accumulated expansion of 4.6% during the year 2017. The outlook for the Dominican economy in 2018 is positive, when projecting a growth of around 5.5% in the Monetary Program, influenced by greater expansion in the US, our main trading partner, and by the dynamism of credit at the domestic level. Macroeconomic models indicate that growth could be even higher at the end of the year, approaching 6.0%.","01","18",5
"On the other hand, the external sector continues to record a good performance, closing 2017 with a Current Account deficit of -0.2% of GDP, the lowest in thirteen years. Likewise, the positive result of the global balance of payments allowed an accumulation of international reserves of some US $ 730 million, about 4.4 months of importation. The dynamism of foreign exchange generating activities such as tourism, remittances and foreign investment contributed to this remarkable accumulation of international reserves, while at the same time facilitating the maintenance of the relative stability of the exchange rate.","01","18",6
"The Central Bank of the Dominican Republic reaffirms its commitment to conduct monetary policy to achieve its inflation target and to maintain macroeconomic stability, helping to create the conditions for the economy to grow around its potential. In that sense, it will continue to monitor the evolution of the world economy and the domestic situation, in order to adopt the necessary measures against possible risks on price stability and the proper functioning of the financial and payment systems.","01","18",7
"BCRD keeps its monetary policy rate at 5.50% per year","01","19",1
"Santo Domingo, Dominican Republic. - At its January 2019 monetary policy meeting, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.50% per annum.","01","19",2
"The decision to render the benchmark unchanged is based on a detailed analysis of the risk balance around inflation forecasts, including information from international and domestic macroeconomic indicators, market expectations and medium-term projections. December's monthly inflation was -0.22%, closing the year at 1.17%. Underlying inflation, which isolates the effects of those volatile components, closed the year at 2.47%. The forecasting system indicates that inflation would gradually converge to the target range of 4.0% to 1.0% over the 24-month policy horizon.","01","19",3
"Recently, the International Monetary Fund (IMF) published its Global Economic Outlook (WEO) report and highlighted the slowdown in global economic growth, reducing its 2019 projections from 3.7% to 3.5% and 2020 from 3.9% to 3.6%.","01","19",4
"On the other hand, Consensus Forecast predicts that the world economy would grow 2.9% during 2019 and 2.8% by 2020. Global expansion of economic activity would continue to be driven by the United States of America, although a moderation in its growth is expected, reaching 2.5% in 2019 and 1.8% by 2020. Consensus Forecast also maintained its moderate growth forecast in the Euro Zone (ZE), with expansions of 1.5% in 2019 and 1.4% in 2020.","01","19",5
"It can be seen from the projections of both the IMF and Consensus Forecast, which is seen as more uncertainty on the international stage, which could have an effect on policy decisions in advanced economies. In that regard, at its last meeting, the US Federal Reserve announced that the next monetary policy normalization would follow a more gradual process this year.","01","19",6
"In the case of Latin America, the region is projected to grow 1.9% in 2019 and 2.5% in 2020, driven by the dynamism of economies such as the Dominican Republic, Bolivia, Panama, Paraguay, Chile and Peru. However, economic vulnerabilities and socio-political tensions continue in countries such as Venezuela, Argentina and Nicaragua, economies that would remain in recession in 2019.","01","19",7
"As for raw materials, after a few months of falls, the price of oil has recovered reaching about US$54 per barrel in January. Recent behavior has been influenced by a drop in both OPEC's oil inventories and production, as well as increased uncertainty in financial markets. Also, according to the International Energy Agency, the price of oil would remain around US$55 a barrel, on average, during 2019.","01","19",8
"Domestically, economic activity continues to grow above its potential, in a context of low inflationary pressures. Indeed, real Gross Domestic Product (GDP) expanded by 7.0% during 2018, driven mainly by investment and private consumption. Consistent with economic dynamism, there is an increase in credit to the private sector in national currency by around 11.0% year-on-year in January 2019.","01","19",9
"Importantly, the weighted average passive interest rate on multiple banking has increased by about 100 basis points following the July 2018 Monetary Policy Rate increase. This adjustment has made it possible to close the interest rate differential against U.S. rates, helping to avoid risks in macroeconomic stability.","01","19",10
"On the fiscal policy side, public spending moderated during 2018, accounting for 5.9% growth in erogations at the end of the year, while revenue expansion reached 12.5% year-on-year, contributing to the process of consolidation of public finances. In the external sector, foreign exchange-generating activities such as tourism, remittances and exports remain in remarkable dynamism, contributing to the fact that the current account deficit in the balance of payments will close the year at around -1.4% of GDP, despite a higher oil bill. The good performance of the external sector has facilitated the accumulation of international reserves in addition to contributing to the relative stability of the exchange rate.","01","19",11
"The Central Bank of the Dominican Republic remains attentive to the evolution of the U.S. monetary policy normalization, as well as the performance of the dollar in the international market and the price of oil globally, being prepared to react in a timely manner to any factor that may cause inflationary diversions. In this regard, the issuing body reaffirms its commitment to driving monetary policy towards the achievement of its inflation target and the smooth functioning of the financial and payment systems, thus contributing to the maintenance of macroeconomic stability.","01","19",12
"BCRD maintains its monetary policy rate at 4.50% per year","01","20",1
"At its January 2020 monetary policy meeting, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 4.50% per annum.","01","20",2
"The benchmark decision is based on detailed risk balance analysis for inflation forecasts, including international and domestic macroeconomic indicators, market expectations and medium-term projections. December's monthly inflation was 0.20%, while year-on-year inflation at the end of 2019 stood at 3.66%, below the focus of the target of 4.0% to 1.0%. Underlying inflation, reflecting monetary conditions, stood at 2.25% in December. Going forward, both the inflation expectations of economic analysts and the BCRD forecasting system, indicate that inflation would remain around the core value of the target range by 2020.","01","20",3
"In the international environment, uncertainty factors are still persisting, associated with socio-political tensions in various regions of the world and trade disputes between major economies, which have influenced a slowdown in the global economy. More recently, volatility in international financial markets has increased as a result of the potential impact that coronavirus can have on the Chinese economy and on global growth. Indeed, the International Monetary Fund (IMF) estimates that the global economy would expand by 2.9% in 2019, the lowest rate in a decade, and would recover slightly to 3.3% by 2020. On the other hand, Consensus Forecasts, which brings together leading analyst firms that make international projections, maintains the forecast of moderate global growth of 2.5% for 2019 and 2020.","01","20",4
"Economic activity in the United States of America has gradually slowed from 2.9% growth in 2018 to 2.3% in 2019, while IMF projections indicate a 2.0% expansion in 2020 for the world's main economy. In this context and with low inflationary pressures, the Federal Reserve maintains an accommodative monetary stance, continuing liquidity provision programmes to the financial system through repurchase agreements (REPOS) and Treasury bill purchases on the secondary market, with the aim of reducing short-term interest rates. Importantly, the Fed and market analysts do not anticipate adjustments to the benchmark interest rate this year. As for the Euro Area, economic growth has deteriorated from 1.9% in 2018 to 1.2% at the end of 2019, projecting 1.3% by 2020. ","01","20",5
" The slowdown in this bloc of countries has been influenced by the weak performance of the industrial sector in its major economies and the slowdown in international trade. Considering the absence of inflationary pressures, the European Central Bank continues to implement a package of expansionary measures, including a negative interest rate for short-term deposits of financial institutions, the liquidity provision programme for the channelling of credit to the private sector, and the purchase of sovereign bonds on the secondary market.","01","20",6
"On the other hand, in Latin America, the deterioration of economic activity has been accentuated as a result of socio-political conflicts in several of the countries of the region. Thus, the IMF estimates regional growth of just 0.1% for 2019 and a recovery of 1.6% in 2020. The region's economic slowdown during 2019 has been influenced by negative growth rates in Mexico, Venezuela, Nicaragua, Argentina, Ecuador and Paraguay, as well as the modest expansion of Brazil and the negative impact of social demonstrations in Chile, Bolivia and Colombia.","01","20",7
"In terms of raw materials, the price of Texas' intermediate oil averaged $58 during the month of January, conditioned by geopolitical conflicts in crude oil-producing countries and by the prospects for lower global demand. On the other hand, the price of gold has remained at high levels, ranking above $1,550 per troy ounce during the month of January, being used as a haven of value in an environment of high uncertainty. This behaviour of oil and gold prices favors the Dominican Republic's terms of trade and benefits the external sector of the economy.","01","20",8
"In the domestic context, the economy continues to react favourably to monetary easing measures, which have boosted domestic demand through increased consumption and private investment from the second half of 2019. Indeed, economic activity showed significant dynamism over the past December as year-on-year growth of 6.7% was recorded. Thus, gross domestic product (GDP) growth reached 5.1% in 2019, consistent with the potential growth of the economy.","01","20",9
"The expansionary monetary measures implemented from June 2019, through the reduction of 100 basis points of the monetary policy rate and the release of more than RD$34 billion of legal lace resources to the productive sectors, contributed to the increase of private credit in national currency , while total private loans, which include domestic and foreign currency, increased by more than RD$127 billion in this period. This dynamism of private credit has been maintained at the beginning of this year, with an expansion rate of more than 12% year-on-year at the end of January. Favourable monetary conditions are expected to continue to support the dynamism of domestic demand, projecting economic growth of around 5.0% - 5.3% during 2020.","01","20",10
"In the external sector, the Balance of Payments current account had a deficit of 1.4% of GDP, similar to that of 2018 and lower than the average in the last ten years. In terms of foreign exchange-generating activities, foreign direct investment reached US$3,012.8 million during 2019 and remittances received amounted to US$7,087.2 million, offsetting the recent moderation of tourism which, despite being affected by the spread of negative news, generated revenue of US$7,468.1 million. On the other hand, the process of consolidation of public finances has been continued, with a deficit of 2.3% of GDP and a primary surplus of 0.6% of GDP at the end of 2019.","01","20",11
"In this complex international environment, the Dominican Republic has managed to strengthen its macroeconomic fundamentals, maintaining relative exchange rate stability and continuing the process of accumulation of International Reserves, which ended 2019 at US$8,781.8 million, its highest historical level for a year-end closing, equivalent to 4.9 months of import coverage and approximately 10% of GDP.","01","20",12
"The Central Bank of the Dominican Republic reaffirms its commitment to drive monetary policy towards achieving its inflation target and the smooth functioning of financial and payment systems, thus contributing to the maintenance of macroeconomic stability. In this sense, the institution will continue to monitor the moderation of the world economy and factors of uncertainty both externally and internally and its impact on aggregate demand, being prepared to continue to react in a timely manner to factors that may generate deviations from the inflation target and affect Dominican economic growth.","01","20",13
"The Central Bank of the Dominican Republic, at its Monetary Policy meeting in February 2012, decided to maintain its Monetary Policy Rate unchanged at 6.75% per annum. At the same time, it decided to leave the Lombard Interest Rate unchanged at 9.0% per annum.","02","12",1
"The decision regarding the reference rate is based on the fact that inflation continues to converge to the goal of 5.5% <U+00B1> 1% for 2012. The behavior of the main macroeconomic variables and the forecast models do not foresee deviations from the inflation target in the policy horizon for this year. In January 2012, inflation was 0.4%, contributing to the year-on-year rate being reduced for the fifth month, registering 6.9% after reaching a maximum of 10.2% in August 2011. This downward trend is also reflected in inflation the year-on-year core which was 4.8% at the end of the month.","02","12",2
"In the external context, the outlook for moderate growth in the world economy remains, so that, in the absence of disruptions, a reduction in global inflationary pressures is expected. Recent indicators of economic activity and employment show that the United States would continue to recover gradually, while Europe and Japan would face recessionary conditions during 2012. Emerging economies maintain a positive outlook, although more moderate than last year.","02","12",3
"The recent agreement between the IMF and the European Union for another rescue to Greece is encouraging for the markets, but international financial risks would remain high in the short term while the prices of primary goods would remain above their historical averages. . Tensions in the Middle East continue to be a focus of geopolitical risk for the world economy.","02","12",4
"In the domestic sphere, economic activity and domestic demand develop within the foreseen in the most recent Monetary Policy Report. Credit to the private sector is expanding at a rate similar to that recorded at the end of 2011, while inflation expectations remain around the 2012 target.","02","12",5
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve the inflation target of 5.5% <U+00B1> 1% for 2012, while continuing to monitor the evolution of the global and domestic economy in order to react in a timely manner to risks related to the price stability and the proper functioning of the financial and payment systems.","02","12",6
"The Central Bank of the Dominican Republic, in its Monetary Policy Meeting of February 2013, decided to keep its Monetary Policy Interest Rate (MPR) unchanged at 5.00% per annum.","02","13",1
"The decision on the reference interest rate takes into account that the forecast models indicate that in the monetary policy horizon, inflation would be within the goal of 5.0% <U+00B1> 1 percentage point in 2013 and 4.5% <U+00B1> 1 point. percentage in 2014. Likewise, market expectations are close to the inflation target. In January, year-on-year inflation reached 4.76%, as a result of the impact of the fiscal reform that caused a monthly inflation of 1.26%.","02","13",2
"In the external context, economic activity in the United States of America (USA) continued to grow at a moderate pace, expanding 2.2% in 2012, while in the Euro Zone (ZE) the recession persisted at the end of the year with a fall in GDP. of 0.5%. However, for 2013, the Consensus Forecast projects a slightly lower growth of 1.9% in the US, as well as a moderation of the recession in the ZE, foreseeing a fall of 0.2% for the current year.","02","13",3
"Although fiscal risks have moderated in the US, political pressures persist related to cuts in public spending that could affect economic performance. In the European Union there is still no definitive solution to the fiscal and debt crisis and, with the exception of Germany, the main economies are experiencing recessive or zero growth conditions. On the other hand, international financial markets have better liquidity conditions, which could facilitate the flow of capital to emerging economies. Although the prices of most primary goods experienced a decrease in 2012, they still remain above their historical levels.","02","13",4
"In the domestic sphere, economic growth in 2012 was 3.9%, higher than the Latin American average of 3.1%, according to ECLAC. This growth was in line with the forecast in the macroeconomic framework. Credit to the private sector in national currency continues showing a recovery and projections seem to indicate that by the end of the year the financing would be growing above the nominal product. Greater credit would allow a faster recovery of consumption and private investment, helping production expand to levels closer to its potential capacity.","02","13",5
"El Banco Central reafirma su compromiso de conducir la pol<ed>tica monetaria al logro de su meta de inflaci<f3>n, a la vez que seguir<e1> monitoreando la evoluci<f3>n de la econom<ed>a mundial y la coyuntura dom<e9>stica, a fin de reaccionar oportunamente ante riesgos sobre la estabilidad de precios y el buen funcionamiento de los sistemas financiero y de pagos.","02","13",6
"En su reuni<f3>n de pol<ed>tica monetaria de febrero de 2014, el Banco Central de la Rep<fa>blica Dominicana decidi<f3> mantener la tasa de pol<ed>tica monetaria (TPM) en 6.25 % anual.","02","14",1
